Series,Operator,Circle,Type
9188,Airtel,Delhi,Mobile
9583,Airtel,AP,Mobile
9920,Airtel,Jharkhand,Mobile
9153,Airtel,Karnataka,Mobile
9406,Airtel,Gujarat,Mobile
9572,Airtel,Odisha,Mobile
9295,Airtel,Punjab,Mobile
9162,Airtel,HP,Mobile
9205,Airtel,Kerala,Mobile
9400,Airtel,Kerala,Mobile
9617,Airtel,West Bengal,Mobile
9316,Airtel,Tamil Nadu,Mobile
9036,Airtel,Gujarat,Mobile
9679,Airtel,Punjab,Mobile
9743,Airtel,Delhi,Mobile
9247,Airtel,HP,Mobile
9540,Airtel,Jharkhand,Mobile
9714,Airtel,West Bengal,Mobile
9908,Airtel,Odisha,Mobile
9068,Airtel,Gujarat,Mobile
9024,Airtel,Odisha,Mobile
9963,Airtel,Rajasthan,Mobile
9178,Airtel,MP,Mobile
9955,Airtel,Punjab,Mobile
9574,Airtel,Delhi,Mobile
9708,Airtel,HP,Mobile
9438,Airtel,AP,Mobile
9996,Airtel,Tamil Nadu,Mobile
9289,Airtel,Bihar,Mobile
9719,Airtel,West Bengal,Mobile
9942,Airtel,HP,Mobile
9287,Airtel,Rajasthan,Mobile
9031,Airtel,Kerala,Mobile
9083,Airtel,West Bengal,Mobile
9290,Airtel,Rajasthan,Mobile
9524,Airtel,Gujarat,Mobile
9900,Airtel,Jharkhand,Mobile
9044,Airtel,Rajasthan,Mobile
9732,Airtel,UP East,Mobile
9244,Airtel,Gujarat,Mobile
9045,Airtel,Odisha,Mobile
9607,Airtel,HP,Mobile
9775,Airtel,AP,Mobile
9645,Airtel,Rajasthan,Mobile
9683,Airtel,Bihar,Mobile
9088,Airtel,West Bengal,Mobile
9222,Airtel,Jharkhand,Mobile
9618,Airtel,UP East,Mobile
9321,Airtel,Haryana,Mobile
9218,Airtel,Karnataka,Mobile
9646,Airtel,Rajasthan,Mobile
9046,Airtel,Tamil Nadu,Mobile
9514,Airtel,Delhi,Mobile
9264,Airtel,Haryana,Mobile
9885,Airtel,Odisha,Mobile
9990,Airtel,Kerala,Mobile
9193,Airtel,HP,Mobile
9621,Airtel,Gujarat,Mobile
9091,Airtel,MP,Mobile
9614,Airtel,Rajasthan,Mobile
9625,Airtel,West Bengal,Mobile
9967,Airtel,Rajasthan,Mobile
9474,Airtel,Delhi,Mobile
9458,Airtel,Karnataka,Mobile
9656,Airtel,Kerala,Mobile
9969,Airtel,AP,Mobile
9435,Airtel,HP,Mobile
9581,Airtel,HP,Mobile
9410,Airtel,Haryana,Mobile
9648,Airtel,Kerala,Mobile
9419,Airtel,HP,Mobile
9763,Airtel,AP,Mobile
9134,Airtel,Maharashtra,Mobile
9034,Airtel,Haryana,Mobile
9099,Airtel,Punjab,Mobile
9235,Airtel,AP,Mobile
9216,Airtel,Bihar,Mobile
9334,Airtel,West Bengal,Mobile
9733,Airtel,Haryana,Mobile
9360,Airtel,Jharkhand,Mobile
9749,Airtel,Punjab,Mobile
9917,Airtel,MP,Mobile
9144,Airtel,Rajasthan,Mobile
9636,Airtel,Bihar,Mobile
9194,Airtel,Jharkhand,Mobile
9869,Airtel,Kerala,Mobile
9237,Airtel,MP,Mobile
9245,Vodafone Idea,Haryana,Mobile
9304,Vodafone Idea,Bihar,Mobile
9820,Vodafone Idea,UP West,Mobile
9326,Vodafone Idea,UP East,Mobile
9890,Vodafone Idea,UP East,Mobile
9058,Vodafone Idea,MP,Mobile
9873,Vodafone Idea,Delhi,Mobile
9925,Vodafone Idea,UP West,Mobile
9756,Vodafone Idea,Odisha,Mobile
9738,Vodafone Idea,MP,Mobile
9292,Vodafone Idea,Assam,Mobile
9023,Vodafone Idea,UP West,Mobile
9615,Vodafone Idea,Punjab,Mobile
9825,Vodafone Idea,West Bengal,Mobile
9638,Vodafone Idea,Odisha,Mobile
9961,Vodafone Idea,AP,Mobile
9169,Vodafone Idea,MP,Mobile
9242,Vodafone Idea,North East,Mobile
9424,Vodafone Idea,UP East,Mobile
9559,Vodafone Idea,UP East,Mobile
9486,Vodafone Idea,UP West,Mobile
9690,Vodafone Idea,North East,Mobile
9609,Vodafone Idea,West Bengal,Mobile
9639,Vodafone Idea,Bihar,Mobile
9545,Vodafone Idea,MP,Mobile
9416,Vodafone Idea,Bihar,Mobile
9652,Vodafone Idea,UP East,Mobile
9903,Vodafone Idea,North East,Mobile
9100,Vodafone Idea,Bihar,Mobile
9375,Vodafone Idea,AP,Mobile
9465,Vodafone Idea,Odisha,Mobile
9432,Vodafone Idea,Odisha,Mobile
9130,Vodafone Idea,Punjab,Mobile
9200,Vodafone Idea,Delhi,Mobile
9521,Vodafone Idea,Rajasthan,Mobile
9240,Vodafone Idea,AP,Mobile
9177,Vodafone Idea,UP East,Mobile
9075,Vodafone Idea,AP,Mobile
9702,Vodafone Idea,Delhi,Mobile
9053,Vodafone Idea,AP,Mobile
9466,Vodafone Idea,AP,Mobile
9654,Vodafone Idea,Gujarat,Mobile
9823,Vodafone Idea,Delhi,Mobile
9152,Vodafone Idea,AP,Mobile
9932,Vodafone Idea,Gujarat,Mobile
9912,Vodafone Idea,MP,Mobile
9258,Vodafone Idea,Rajasthan,Mobile
9634,Vodafone Idea,MP,Mobile
9123,Vodafone Idea,Kerala,Mobile
9998,Vodafone Idea,Karnataka,Mobile
9423,Vodafone Idea,Delhi,Mobile
9226,Vodafone Idea,Gujarat,Mobile
9190,Vodafone Idea,Delhi,Mobile
9269,Vodafone Idea,Tamil Nadu,Mobile
9164,Vodafone Idea,Maharashtra,Mobile
9418,Vodafone Idea,Karnataka,Mobile
9553,Vodafone Idea,Karnataka,Mobile
9854,Vodafone Idea,Gujarat,Mobile
9450,Vodafone Idea,UP West,Mobile
9944,Vodafone Idea,Tamil Nadu,Mobile
9279,Vodafone Idea,Kerala,Mobile
9801,Vodafone Idea,Punjab,Mobile
9073,Vodafone Idea,Maharashtra,Mobile
9387,Vodafone Idea,MP,Mobile
9556,Vodafone Idea,Odisha,Mobile
9705,Vodafone Idea,AP,Mobile
9819,Vodafone Idea,Delhi,Mobile
9498,Vodafone Idea,Delhi,Mobile
9590,Vodafone Idea,Punjab,Mobile
9347,Vodafone Idea,Rajasthan,Mobile
9853,Vodafone Idea,Rajasthan,Mobile
9394,Vodafone Idea,Karnataka,Mobile
9797,Vodafone Idea,MP,Mobile
9501,Vodafone Idea,Haryana,Mobile
9863,Vodafone Idea,AP,Mobile
9425,Vodafone Idea,AP,Mobile
9183,Vodafone Idea,Karnataka,Mobile
9119,Vodafone Idea,Rajasthan,Mobile
9686,Vodafone Idea,UP West,Mobile
9836,Vodafone Idea,Kerala,Mobile
9526,Vodafone Idea,Assam,Mobile
9878,Vodafone Idea,Punjab,Mobile
9694,Vodafone Idea,West Bengal,Mobile
9954,Vodafone Idea,AP,Mobile
9810,Vodafone Idea,Assam,Mobile
9546,Vodafone Idea,Assam,Mobile
9307,Vodafone Idea,West Bengal,Mobile
9127,Vodafone Idea,Maharashtra,Mobile
9619,Vodafone Idea,Kerala,Mobile
9228,Vodafone Idea,North East,Mobile
9492,Vodafone Idea,West Bengal,Mobile
9846,Vodafone Idea,Gujarat,Mobile
9537,Vodafone Idea,Bihar,Mobile
9649,Vodafone Idea,Gujarat,Mobile
9161,Vodafone Idea,UP West,Mobile
9781,Vodafone Idea,Haryana,Mobile
9728,Vodafone Idea,Haryana,Mobile
9365,Vodafone Idea,Gujarat,Mobile
9542,Vodafone Idea,Kerala,Mobile
9274,Vodafone Idea,UP West,Mobile
9904,Vodafone Idea,North East,Mobile
9032,Vodafone Idea,UP East,Mobile
9631,Vodafone Idea,Gujarat,Mobile
9471,Vodafone Idea,Assam,Mobile
9060,Vodafone Idea,Odisha,Mobile
9379,Vodafone Idea,Gujarat,Mobile
9789,Vodafone Idea,Karnataka,Mobile
9407,Vodafone Idea,Gujarat,Mobile
9555,Vodafone Idea,Punjab,Mobile
9030,Vodafone Idea,West Bengal,Mobile
9877,Vodafone Idea,UP East,Mobile
9111,Vodafone Idea,North East,Mobile
9739,Vodafone Idea,Gujarat,Mobile
9025,BSNL,West Bengal,Mobile
9301,BSNL,J&K,Mobile
9641,BSNL,Karnataka,Mobile
9265,BSNL,Haryana,Mobile
9131,BSNL,Kerala,Mobile
9914,BSNL,Karnataka,Mobile
9897,BSNL,Maharashtra,Mobile
9597,BSNL,North East,Mobile
9272,BSNL,Andaman,Mobile
9256,BSNL,Maharashtra,Mobile
9585,BSNL,Karnataka,Mobile
9718,BSNL,MP,Mobile
9868,BSNL,West Bengal,Mobile
9384,BSNL,Haryana,Mobile
9149,BSNL,Maharashtra,Mobile
9209,BSNL,AP,Mobile
9860,BSNL,Haryana,Mobile
9444,BSNL,Punjab,Mobile
9021,BSNL,HP,Mobile
9767,BSNL,Maharashtra,Mobile
9470,BSNL,West Bengal,Mobile
9923,BSNL,North East,Mobile
9203,BSNL,Kerala,Mobile
9300,BSNL,Haryana,Mobile
9086,BSNL,MP,Mobile
9020,BSNL,HP,Mobile
9278,BSNL,MP,Mobile
9826,BSNL,Karnataka,Mobile
9592,BSNL,Haryana,Mobile
9707,BSNL,AP,Mobile
9048,BSNL,Odisha,Mobile
9742,BSNL,Rajasthan,Mobile
9670,BSNL,Punjab,Mobile
9448,BSNL,Karnataka,Mobile
9026,BSNL,J&K,Mobile
9571,BSNL,J&K,Mobile
9396,BSNL,Maharashtra,Mobile
9866,BSNL,Haryana,Mobile
9463,BSNL,Bihar,Mobile
9709,BSNL,Uttarakhand,Mobile
9109,BSNL,Kerala,Mobile
9039,BSNL,Odisha,Mobile
9659,BSNL,Uttarakhand,Mobile
9345,BSNL,Kerala,Mobile
9095,BSNL,Andaman,Mobile
9791,BSNL,Bihar,Mobile
9378,BSNL,Odisha,Mobile
9774,BSNL,Haryana,Mobile
9208,BSNL,MP,Mobile
9734,BSNL,UP East,Mobile
9881,BSNL,UP East,Mobile
9751,BSNL,Punjab,Mobile
9328,BSNL,AP,Mobile
9473,BSNL,Maharashtra,Mobile
9082,BSNL,Haryana,Mobile
9232,BSNL,MP,Mobile
9074,BSNL,Karnataka,Mobile
9225,BSNL,Andaman,Mobile
9012,BSNL,Kerala,Mobile
9040,BSNL,Jharkhand,Mobile
9315,BSNL,MP,Mobile
9488,BSNL,Haryana,Mobile
9905,BSNL,J&K,Mobile
9409,BSNL,AP,Mobile
9508,BSNL,West Bengal,Mobile
9773,BSNL,MP,Mobile
9906,BSNL,Andaman,Mobile
9281,BSNL,Andaman,Mobile
9386,BSNL,Bihar,Mobile
9215,BSNL,Rajasthan,Mobile
9393,BSNL,Maharashtra,Mobile
9768,BSNL,Odisha,Mobile
9010,BSNL,UP East,Mobile
9280,BSNL,AP,Mobile
9741,BSNL,Kerala,Mobile
9527,BSNL,Rajasthan,Mobile
9643,BSNL,Punjab,Mobile
9523,BSNL,Jharkhand,Mobile
9965,BSNL,J&K,Mobile
9481,BSNL,Punjab,Mobile
9156,BSNL,West Bengal,Mobile
9259,BSNL,MP,Mobile
9724,BSNL,Tamil Nadu,Mobile
9660,BSNL,Haryana,Mobile
9013,BSNL,Punjab,Mobile
9179,BSNL,Andaman,Mobile
9886,BSNL,Punjab,Mobile
9249,BSNL,MP,Mobile
9155,BSNL,Haryana,Mobile
9484,BSNL,Jharkhand,Mobile
9042,BSNL,AP,Mobile
9475,BSNL,Kerala,Mobile
9829,BSNL,MP,Mobile
9038,BSNL,MP,Mobile
9195,BSNL,Bihar,Mobile
9513,BSNL,Kerala,Mobile
9577,BSNL,Haryana,Mobile
9469,BSNL,J&K,Mobile
9211,BSNL,Odisha,Mobile
9596,BSNL,Maharashtra,Mobile
9725,BSNL,J&K,Mobile
9175,BSNL,Tamil Nadu,Mobile
9668,BSNL,Haryana,Mobile
9196,BSNL,UP East,Mobile
9007,BSNL,Haryana,Mobile
9441,BSNL,Jharkhand,Mobile
9909,Jio,Tamil Nadu,Mobile
9172,Jio,Punjab,Mobile
9938,Jio,Tamil Nadu,Mobile
9033,Jio,Maharashtra,Mobile
9978,Jio,Delhi,Mobile
9875,Jio,Tamil Nadu,Mobile
9124,Jio,Karnataka,Mobile
9746,Jio,West Bengal,Mobile
9390,Jio,Haryana,Mobile
9798,Jio,All India,Mobile
9129,Jio,Odisha,Mobile
9608,Jio,UP West,Mobile
9478,Jio,Gujarat,Mobile
9845,Jio,Maharashtra,Mobile
9397,Jio,Karnataka,Mobile
9009,Jio,AP,Mobile
9629,Jio,MP,Mobile
9573,Jio,West Bengal,Mobile
9663,Jio,Tamil Nadu,Mobile
9106,Jio,Bihar,Mobile
9935,Jio,Odisha,Mobile
9838,Jio,AP,Mobile
9361,Jio,Karnataka,Mobile
9929,Jio,Kerala,Mobile
9041,Jio,Tamil Nadu,Mobile
9118,Jio,All India,Mobile
9698,Jio,Kerala,Mobile
9956,Jio,Maharashtra,Mobile
9744,Jio,Haryana,Mobile
9094,Jio,MP,Mobile
9951,Jio,Tamil Nadu,Mobile
9957,Jio,AP,Mobile
9018,Jio,Jharkhand,Mobile
9538,Jio,Rajasthan,Mobile
9676,Jio,Bihar,Mobile
9794,Jio,Maharashtra,Mobile
9509,Jio,Rajasthan,Mobile
9831,Jio,Karnataka,Mobile
9949,Jio,West Bengal,Mobile
9085,Jio,Jharkhand,Mobile
9580,Jio,UP East,Mobile
9565,Jio,Rajasthan,Mobile
9376,Jio,Kerala,Mobile
9785,Jio,Kerala,Mobile
9835,Jio,Delhi,Mobile
9680,Jio,Rajasthan,Mobile
9588,Jio,All India,Mobile
9063,Jio,West Bengal,Mobile
9043,Jio,Punjab,Mobile
9150,Jio,Maharashtra,Mobile
9842,Jio,Maharashtra,Mobile
9210,Jio,Jharkhand,Mobile
9056,Jio,Gujarat,Mobile
9080,Jio,All India,Mobile
9713,Jio,Tamil Nadu,Mobile
9403,Jio,AP,Mobile
9731,Jio,Tamil Nadu,Mobile
9519,Jio,Punjab,Mobile
9623,Jio,Jharkhand,Mobile
9892,Jio,Odisha,Mobile
9277,Jio,Maharashtra,Mobile
9401,Jio,Bihar,Mobile
9591,Jio,All India,Mobile
9889,Jio,Gujarat,Mobile
9662,Jio,Odisha,Mobile
9765,Jio,West Bengal,Mobile
9339,Jio,Odisha,Mobile
9584,Jio,Jharkhand,Mobile
9411,Jio,AP,Mobile
9595,Jio,UP West,Mobile
9604,Jio,Karnataka,Mobile
9158,Jio,Punjab,Mobile
9163,Jio,All India,Mobile
9858,Jio,Kerala,Mobile
9497,Jio,AP,Mobile
9160,Jio,Tamil Nadu,Mobile
9288,Jio,Haryana,Mobile
9761,Jio,Rajasthan,Mobile
9204,Jio,Maharashtra,Mobile
9753,Jio,Maharashtra,Mobile
9251,Jio,Karnataka,Mobile
9148,Jio,Rajasthan,Mobile
9941,Jio,Gujarat,Mobile
9059,Jio,Bihar,Mobile
9443,Jio,Haryana,Mobile
9780,Jio,Karnataka,Mobile
9557,Jio,West Bengal,Mobile
9202,Jio,Odisha,Mobile
9434,Jio,Bihar,Mobile
9913,Jio,MP,Mobile
9273,Jio,Karnataka,Mobile
9173,Jio,Maharashtra,Mobile
9062,Jio,Punjab,Mobile
9796,Jio,Delhi,Mobile
9570,Jio,West Bengal,Mobile
9986,Jio,Jharkhand,Mobile
9871,Jio,Odisha,Mobile
