PhoneNumber,Name,Type,Reason,ReportCount,SpamScore
+919999869458,Survey Scam,scam,Survey Scam,445,100
+919500737165,Stock Tips,spam,Stock Tips,279,95.7
+919999390434,Fake Delivery,scam,Fake Delivery,428,100
+918700920876,Stock Tips,spam,Stock Tips,155,64.5
+917500381184,Paytm Cashback Scam,scam,Paytm Cashback Scam,440,100
+919300170086,Prize Scam,scam,Prize Scam,312,100
+919876821692,Prize Scam,scam,Prize Scam,409,100
+918300959251,Job Scam,scam,Job Scam,97,40.1
+916000409090,Police Impersonation,scam,Police Impersonation,136,73.8
+919500401461,Tax Refund Scam,scam,Tax Refund Scam,252,90.6
+918300661887,Survey Scam,scam,Survey Scam,271,100
+919877470943,Paytm Cashback Scam,scam,Paytm Cashback Scam,472,100
+919999801517,Fake Tech Support,scam,Fake Tech Support,16,24.8
+916000876104,WhatsApp Scam,scam,WhatsApp Scam,448,100
+916300801483,KYC Fraud,scam,KYC Fraud,484,100
+919877612365,KYC Fraud,scam,KYC Fraud,488,100
+918500819137,Loan Offer,spam,Loan Offer,336,100
+917000947038,Health Insurance Spam,spam,Health Insurance Spam,262,100
+919877253413,SIM Swap Scam,scam,SIM Swap Scam,339,100
+916000578771,SIM Swap Scam,scam,SIM Swap Scam,445,100
+919300144009,Job Scam,scam,Job Scam,352,100
+917100295078,Real Estate Spam,spam,Real Estate Spam,94,61.2
+919877319873,UPI Scam,scam,UPI Scam,35,33.5
+916100377128,WhatsApp Scam,scam,WhatsApp Scam,371,100
+918700306949,Telemarketing,spam,Telemarketing,67,43.1
+918888426944,Education Spam,spam,Education Spam,457,100
+918888348189,Telemarketing,spam,Telemarketing,178,75.4
+918500782056,OTP Fraud,scam,OTP Fraud,373,100
+916200546097,Telemarketing,spam,Telemarketing,320,100
+918888299155,Insurance Scam,scam,Insurance Scam,224,90.2
+917300271678,Political Robocall,spam,Political Robocall,176,87.8
+918700611334,Investment Scam,scam,Investment Scam,354,100
+919100985068,Paytm Cashback Scam,scam,Paytm Cashback Scam,63,50.9
+918500890219,Job Scam,scam,Job Scam,404,100
+917000435899,SIM Swap Scam,scam,SIM Swap Scam,294,100
+917100273199,Job Scam,scam,Job Scam,323,100
+916300136308,Bank Phishing,scam,Bank Phishing,492,100
+916100190693,Political Robocall,spam,Political Robocall,481,100
+919500510695,Aadhaar Scam,scam,Aadhaar Scam,6,23.8
+918888386767,Prize Scam,scam,Prize Scam,310,100
+918300665983,Insurance Scam,scam,Insurance Scam,90,38.0
+918800428793,Credit Card Scam,scam,Credit Card Scam,403,100
+917500879766,Real Estate Spam,spam,Real Estate Spam,428,100
+917100515986,Survey Scam,scam,Survey Scam,180,70.0
+919100580721,Matrimony Spam,spam,Matrimony Spam,394,100
+919877451313,Lottery Scam,scam,Lottery Scam,169,83.7
+917300157364,Education Spam,spam,Education Spam,407,100
+919876908652,SIM Swap Scam,scam,SIM Swap Scam,348,100
+919877287440,Prize Scam,scam,Prize Scam,97,44.1
